POS,0,048F,-0.33,-2.61,0.05,53,x02
POS,0,048F,-0.31,-2.61,0.04,55,x02
POS,0,048F,-0.26,-2.64,0.08,60,x02
POS,0,048F,-0.08,-2.56,-0.08,46,x02
POS,0,048F,-0.10,-2.59,-0.05,58,x02
POS,0,048F,-0.10,-2.65,-0.03,62,x02
POS,0,048F,-0.12,-2.71,-0.02,65,x02
POS,0,048F,-0.01,-2.74,0.64,64,x02
POS,0,048F,-0.05,-2.73,0.44,59,x02
POS,0,048F,-0.08,-2.67,0.30,53,x02
POS,0,048F,-0.12,-2.68,0.21,58,x02
POS,0,048F,-0.14,-2.67,0.14,57,x02
POS,0,048F,-0.15,-2.69,0.06,61,x02
POS,0,048F,-0.15,-2.68,-0.01,58,x02
POS,0,048F,-0.19,-2.72,0.01,63,x02
POS,0,048F,-0.20,-2.73,0.02,60,x02
POS,0,048F,-0.20,-2.76,0.01,63,x02
POS,0,048F,-0.18,-2.78,-0.01,63,x02
POS,0,048F,-0.24,-2.72,-0.02,53,x02
POS,0,048F,-0.29,-2.69,0.03,54,x02
POS,0,048F,0.01,-2.45,-0.19,56,x02
POS,0,048F,0.22,-2.50,-0.32,59,x02
POS,0,048F,0.37,-2.55,-0.43,61,x02
POS,0,048F,0.17,-2.52,-0.25,45,x02
POS,0,048F,0.02,-2.50,-0.14,47,x02
POS,0,048F,-0.07,-2.51,-0.06,52,x02
POS,0,048F,-0.04,-2.57,-0.12,62,x02
POS,0,048F,-0.12,-2.58,-0.05,54,x02
POS,0,048F,-0.16,-2.55,-0.01,50,x02
POS,0,048F,-0.20,-2.56,0.02,53,x02
POS,0,048F,-0.22,-2.54,0.02,51,x02
POS,0,048F,-0.27,-2.56,-0.01,55,x02
POS,0,048F,-0.18,-2.57,0.62,57,x02
POS,0,048F,-0.22,-2.56,0.49,52,x02
POS,0,048F,-0.22,-2.75,0.53,78,x02
POS,0,048F,-0.23,-2.76,0.42,60,x02
POS,0,048F,-0.14,-2.86,0.87,75,x02
POS,0,048F,-0.07,-2.84,1.28,63,x02
POS,0,048F,-0.16,-2.90,0.99,70,x02
POS,0,048F,-0.05,-2.83,0.61,57,x02
POS,0,048F,0.03,-2.65,0.31,40,x02
POS,0,048F,0.06,-2.66,0.87,61,x02
POS,0,048F,0.16,-2.54,0.48,43,x02
POS,0,048F,0.19,-2.56,0.21,57,x02
POS,0,048F,0.18,-2.57,-0.02,59,x02
POS,0,048F,0.16,-2.60,0.62,60,x02
POS,0,048F,0.05,-2.60,0.49,55,x02
POS,0,048F,0.07,-2.59,1.02,56,x02
POS,0,048F,0.11,-2.62,0.66,61,x02
POS,0,048F,0.26,-2.62,0.31,57,x02
POS,0,048F,0.35,-2.63,0.07,59,x02
POS,0,048F,0.44,-2.61,-0.14,56,x02
POS,0,048F,0.37,-2.61,0.55,57,x02
POS,0,048F,0.50,-2.62,0.20,59,x02
POS,0,048F,0.37,-2.68,0.10,64,x02
POS,0,048F,0.47,-2.64,-0.14,55,x02
POS,0,048F,0.24,-2.68,-0.03,61,x02
POS,0,048F,0.06,-2.59,0.07,39,x02
POS,0,048F,-0.09,-2.52,0.11,40,x02
POS,0,048F,-0.20,-2.47,0.17,39,x02
POS,0,048F,-0.27,-2.46,0.23,44,x02
POS,0,048F,-0.32,-2.45,0.29,45,x02
POS,0,048F,-0.38,-2.47,0.31,49,x02
POS,0,048F,-0.44,-2.47,0.32,46,x02
POS,0,048F,-0.45,-2.48,0.32,50,x02
POS,0,048F,-0.46,-2.44,0.29,40,x02
POS,0,048F,-0.46,-2.42,0.30,41,x02
POS,0,048F,-0.81,-2.23,0.26,57,x02
POS,0,048F,-0.66,-2.42,0.78,69,x02
POS,0,048F,-0.64,-2.52,0.65,62,x02
POS,0,048F,-0.66,-2.51,0.52,48,x02
POS,0,048F,-0.67,-2.49,0.42,46,x02
POS,0,048F,-0.68,-2.47,0.33,45,x02
POS,0,048F,-0.68,-2.47,0.27,47,x02
POS,0,048F,-0.66,-2.46,0.22,47,x02
POS,0,048F,-0.66,-2.47,0.18,49,x02
POS,0,048F,-0.65,-2.46,0.14,47,x02
POS,0,048F,-0.67,-2.45,0.13,46,x02
POS,0,048F,-0.66,-2.46,0.13,48,x02
POS,0,048F,-0.66,-2.46,0.12,47,x02
POS,0,048F,-0.65,-2.46,0.12,48,x02
POS,0,048F,-0.65,-2.46,0.11,47,x02
POS,0,048F,-0.67,-2.47,0.10,48,x02
POS,0,048F,-0.68,-2.48,0.09,50,x02
POS,0,048F,-0.67,-2.48,0.09,48,x02
POS,0,048F,-0.68,-2.47,0.08,48,x02
POS,0,048F,-0.68,-2.48,0.09,48,x02
POS,0,048F,-0.62,-2.47,0.10,47,x02
POS,0,048F,-0.37,-2.57,-0.05,66,x02
POS,0,048F,-0.33,-2.56,-0.03,52,x02
POS,0,048F,-0.31,-2.58,-0.07,58,x02
POS,0,048F,-0.28,-2.62,-0.11,60,x02
POS,0,048F,-0.45,-2.64,-0.21,59,x02
